Transcription-Units	Transcription units - binding sites	Transcription units - promoter of operon	Sequence - coordinates of DNA region	Genes of transcription unit	Ontology -  all instances of class	Ontology - all ancestors of entity	Ontology - all subclasses of class	Regulation - regulator proteins of transcription unit	Transcription units - regulators of operon	Names	Object ID	Direction	Left-End-Position	Citations	Data-Source
TU185E-5558			[TU185E-5558 852,396 &rarr; 853,853]	G185E-4906		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5558	+		:EV-COMP-AINF:3743282492:fulcher	
TU185E-6522			[TU185E-6522 2,934,198 &rarr; 2,934,872]	G185E-6850		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6522	+		:EV-COMP-AINF:3743282539:fulcher	
TU185E-5925			[TU185E-5925 1,646,186 &rarr; 1,653,256]	G185E-5648 // G185E-5647 // G185E-5646 // G185E-5645 // G185E-5644 // G185E-5643		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5925	+		:EV-COMP-AINF:3743282510:fulcher	
TU185E-6887			[TU185E-6887 3,743,198 &larr; 3,743,455]	G185E-7622		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6887	-		:EV-COMP-AINF:3743282557:fulcher	
TU185E-7255			[TU185E-7255 3,834,892 &rarr; 3,835,200]	G185E-7693		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7255	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282575:fulcher	
TU185E-7519			[TU185E-7519 1,612,342 &larr; 1,612,950]	G185E-5618		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7519	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282587:fulcher	
TU185E-6138			[TU185E-6138 2,125,340 &rarr; 2,125,819]	G185E-6071		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6138	+		:EV-COMP-AINF:3743282521:fulcher	
TU185E-5542			[TU185E-5542 828,140 &rarr; 828,892]	G185E-4881		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5542	+		:EV-COMP-AINF:3743282492:fulcher	
TU185E-6506			[TU185E-6506 2,896,013 &larr; 2,897,803]	G185E-6814		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6506	-		:EV-COMP-AINF:3743282538:fulcher	
TU185E-591			[TU185E-591 1,214,769 &rarr; 1,215,131]	G185E-5252		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-591	+		:EV-COMP-AINF:3658683433:fulcher	
TU185E-6871			[TU185E-6871 3,700,705 &larr; 3,701,016]	G185E-7587		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6871	-		:EV-COMP-AINF:3743282556:fulcher	
TU185E-7239			[TU185E-7239 3,961,800 &larr; 3,962,324]	G185E-7802		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7239	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282574:fulcher	
TU185E-7503			[TU185E-7503 1,733,116 &larr; 1,733,550]	G185E-5720		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7503	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282587:fulcher	
TU185E-6122			[TU185E-6122 2,097,348 &rarr; 2,101,648]	G185E-6048 // G185E-6047 // G185E-6046 // G185E-6045 // G185E-6044 // G185E-6043		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6122	+		:EV-COMP-AINF:3743282520:fulcher	
TU185E-5526			[TU185E-5526 795,519 &rarr; 798,372]	G185E-4841 // G185E-4840		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5526	+		:EV-COMP-AINF:3743282491:fulcher	
TU185E-6490			[TU185E-6490 2,865,130 &rarr; 2,866,341]	G185E-6781		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6490	+		:EV-COMP-AINF:3743282537:fulcher	
TU185E-5894			[TU185E-5894 1,550,579 &larr; 1,552,655]	G185E-5561 // G185E-5560		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5894	-		:EV-COMP-AINF:3743282509:fulcher	
TU185E-6855			[TU185E-6855 3,660,651 &larr; 3,661,169]	G185E-7552		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6855	-		:EV-COMP-AINF:3743282555:fulcher	
TU185E-7223			[TU185E-7223 4,109,783 &larr; 4,110,481]	G185E-7951		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7223	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282573:fulcher	
TU185E-7487			[TU185E-7487 1,952,291 &larr; 1,952,503]	G185E-5920		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7487	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282586:fulcher	
TU185E-6106			[TU185E-6106 2,061,178 &larr; 2,062,674]	G185E-6013		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6106	-		:EV-COMP-AINF:3743282519:fulcher	
TU185E-5510			[TU185E-5510 759,807 &rarr; 763,325]	G185E-4810		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5510	+		:EV-COMP-AINF:3743282490:fulcher	
TU185E-6474			[TU185E-6474 2,822,438 &rarr; 2,823,259]	G185E-6743		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6474	+		:EV-COMP-AINF:3743282536:fulcher	
TU185E-5878			[TU185E-5878 1,513,047 &rarr; 1,517,362]	G185E-5529 // G185E-5528		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5878	+		:EV-COMP-AINF:3743282508:fulcher	
TU185E-6839			[TU185E-6839 3,621,570 &larr; 3,623,091]	G185E-7517 // G185E-7516		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6839	-		:EV-COMP-AINF:3743282555:fulcher	
TU185E-7207			[TU185E-7207 4,217,134 &rarr; 4,218,195]	G185E-8067		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7207	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282573:fulcher	
TU185E-7471			[TU185E-7471 2,079,830 &rarr; 2,080,696]	G185E-6029		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7471	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282585:fulcher	
TU185E-6090			[TU185E-6090 2,042,001 &rarr; 2,043,272]	G185E-5996		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6090	+		:EV-COMP-AINF:3743282518:fulcher	
TU185E-5494			[TU185E-5494 731,930 &rarr; 733,325]	G185E-4779 // G185E-4778 // G185E-4777		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5494	+		:EV-COMP-AINF:3743282490:fulcher	
TU185E-6458			[TU185E-6458 2,776,316 &larr; 2,782,262]	G185E-6711 // G185E-6710 // G185E-6709		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6458	-		:EV-COMP-AINF:3743282536:fulcher	
TU185E-5862			[TU185E-5862 1,471,846 &rarr; 1,473,382]	G185E-5491		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5862	+		:EV-COMP-AINF:3743282507:fulcher	
TU185E-6823			[TU185E-6823 3,595,713 &rarr; 3,595,967]	G185E-7490		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6823	+		:EV-COMP-AINF:3743282554:fulcher	
TU185E-7191			[TU185E-7191 4,338,171 &larr; 4,338,521]	G185E-8160		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7191	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282572:fulcher	
TU185E-7455			[TU185E-7455 2,195,989 &rarr; 2,197,353]	G185E-6142		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7455	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282585:fulcher	
TU185E-6074			[TU185E-6074 2,007,832 &rarr; 2,009,990]	G185E-5971 // G185E-5970		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6074	+		:EV-COMP-AINF:3743282518:fulcher	
TU185E-5478			[TU185E-5478 704,752 &larr; 705,909]	G185E-4747		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5478	-		:EV-COMP-AINF:3743282489:fulcher	
TU185E-6442			[TU185E-6442 2,745,767 &larr; 2,750,225]	G185E-6680 // G185E-6679 // G185E-6678		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6442	-		:EV-COMP-AINF:3743282535:fulcher	
TU185E-5846			[TU185E-5846 1,437,909 &rarr; 1,440,751]	G185E-5458 // G185E-5457		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5846	+		:EV-COMP-AINF:3743282506:fulcher	
TU185E-6807			[TU185E-6807 3,557,311 &larr; 3,558,345]	G185E-7457		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6807	-		:EV-COMP-AINF:3743282553:fulcher	
TU185E-7175			[TU185E-7175 4,373,726 &larr; 4,374,372]	G185E-8189 // G185E-8188		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7175	-		:EV-COMP-AINF:3743282571:fulcher	
TU185E-7439			[TU185E-7439 2,313,125 &rarr; 2,313,838]	G185E-6258		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7439	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282584:fulcher	
TU185E-6058			[TU185E-6058 1,977,328 &larr; 1,977,885]	G185E-5944		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6058	-		:EV-COMP-AINF:3743282517:fulcher	
TU185E-5462			[TU185E-5462 668,579 &larr; 669,745]	G185E-4709		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5462	-		:EV-COMP-AINF:3743282488:fulcher	
TU185E-6426			[TU185E-6426 2,719,083 &rarr; 2,719,355]	G185E-6652		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6426	+		:EV-COMP-AINF:3743282534:fulcher	
TU185E-5830			[TU185E-5830 1,404,717 &larr; 1,407,340]	G185E-5429 // G185E-5428		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5830	-		:EV-COMP-AINF:3743282505:fulcher	
TU185E-6791			[TU185E-6791 3,531,208 &larr; 3,535,351]	G185E-7431 // G185E-7430 // G185E-7429 // G185E-7428 // G185E-7427		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6791	-		:EV-COMP-AINF:3743282552:fulcher	
TU185E-7159			[TU185E-7159 4,330,039 &larr; 4,336,081]	G185E-8157 // G185E-8156		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7159	-		:EV-COMP-AINF:3743282570:fulcher	
TU185E-7423			[TU185E-7423 2,433,631 &larr; 2,434,536]	G185E-6381		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7423	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282583:fulcher	
TU185E-6042			[TU185E-6042 1,947,030 &larr; 1,947,643]	G185E-5914 // G185E-5913		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6042	-		:EV-COMP-AINF:3743282516:fulcher	
TU185E-5446			[TU185E-5446 642,889 &rarr; 646,255]	G185E-4687 // G185E-4686 // G185E-4685		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5446	+		:EV-COMP-AINF:3743282487:fulcher	
TU185E-6410			[TU185E-6410 2,683,248 &larr; 2,684,266]	G185E-6616 // G185E-6615		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6410	-		:EV-COMP-AINF:3743282534:fulcher	
TU185E-5814			[TU185E-5814 1,367,891 &larr; 1,368,721]	G185E-5396		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5814	-		:EV-COMP-AINF:3743282505:fulcher	
TU185E-6775			[TU185E-6775 3,480,074 &rarr; 3,481,289]	G185E-7378 // G185E-7377		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6775	+		:EV-COMP-AINF:3743282552:fulcher	
TU185E-7143			[TU185E-7143 4,291,639 &larr; 4,299,605]	G185E-8121 // G185E-8120		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7143	-		:EV-COMP-AINF:3743282569:fulcher	
TU185E-6026			[TU185E-6026 1,906,403 &rarr; 1,907,320]	G185E-5872		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6026	+		:EV-COMP-AINF:3743282515:fulcher	
TU185E-5430			[TU185E-5430 613,038 &rarr; 614,342]	G185E-4654		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5430	+		:EV-COMP-AINF:3743282487:fulcher	
TU185E-6394			[TU185E-6394 2,639,673 &larr; 2,641,064]	G185E-6583		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6394	-		:EV-COMP-AINF:3743282533:fulcher	
TU185E-5798			[TU185E-5798 1,334,927 &rarr; 1,337,215]	G185E-5362 // G185E-5361		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5798	+		:EV-COMP-AINF:3743282504:fulcher	
TU185E-6759			[TU185E-6759 3,435,798 &larr; 3,436,685]	G185E-7335 // G185E-7334		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6759	-		:EV-COMP-AINF:3743282551:fulcher	
TU185E-7127			[TU185E-7127 4,234,780 &rarr; 4,235,265]	G185E-8084		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7127	+		:EV-COMP-AINF:3743282569:fulcher	
TU185E-6010			[TU185E-6010 1,852,928 &rarr; 1,853,122]	G185E-5832		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6010	+		:EV-COMP-AINF:3743282514:fulcher	
TU185E-5414			[TU185E-5414 579,349 &rarr; 580,581]	G185E-4619		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5414	+		:EV-COMP-AINF:3743282486:fulcher	
TU185E-6378			[TU185E-6378 2,610,837 &rarr; 2,611,805]	G185E-6561		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6378	+		:EV-COMP-AINF:3743282532:fulcher	
TU185E-5782			[TU185E-5782 1,296,152 &rarr; 1,298,059]	G185E-5335		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5782	+		:EV-COMP-AINF:3743282503:fulcher	
TU185E-6743			[TU185E-6743 3,408,404 &larr; 3,411,083]	G185E-7310 // G185E-7309		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6743	-		:EV-COMP-AINF:3743282550:fulcher	
TU185E-7111			[TU185E-7111 4,205,862 &larr; 4,206,917]	G185E-8052		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7111	-		:EV-COMP-AINF:3743282568:fulcher	
TU185E-5994			[TU185E-5994 1,806,181 &rarr; 1,807,263]	G185E-5795		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5994	+		:EV-COMP-AINF:3743282513:fulcher	
TU185E-5398			[TU185E-5398 559,888 &rarr; 560,748]	G185E-4596		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5398	+		:EV-COMP-AINF:3743282485:fulcher	
TU185E-6362			[TU185E-6362 2,581,764 &larr; 2,582,298]	G185E-6532 // G185E-6531		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6362	-		:EV-COMP-AINF:3743282532:fulcher	
TU185E-5766			[TU185E-5766 1,251,617 &larr; 1,252,972]	G185E-5294		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5766	-		:EV-COMP-AINF:3743282502:fulcher	
TU185E-6727			[TU185E-6727 3,378,329 &larr; 3,378,415]	G185E-7277		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6727	-		:EV-COMP-AINF:3743282549:fulcher	
TU185E-7095			[TU185E-7095 4,182,934 &rarr; 4,183,992]	G185E-8022		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7095	+		:EV-COMP-AINF:3743282567:fulcher	
TU185E-5978			[TU185E-5978 1,774,860 &larr; 1,775,144]	G185E-5755		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5978	-		:EV-COMP-AINF:3743282513:fulcher	
TU185E-5382			[TU185E-5382 534,445 &larr; 537,169]	G185E-4573 // G185E-4572 // G185E-4571		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5382	-		:EV-COMP-AINF:3743282485:fulcher	
TU185E-6346			[TU185E-6346 2,564,029 &larr; 2,565,032]	G185E-6511 // G185E-6510		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6346	-		:EV-COMP-AINF:3743282531:fulcher	
TU185E-5750			[TU185E-5750 1,222,997 &rarr; 1,224,298]	G185E-5260		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5750	+		:EV-COMP-AINF:3743282502:fulcher	
TU185E-6711			[TU185E-6711 3,339,118 &rarr; 3,339,762]	G185E-7238		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6711	+		:EV-COMP-AINF:3743282548:fulcher	
TU185E-7079			[TU185E-7079 4,156,981 &rarr; 4,158,922]	G185E-8000 // G185E-7999		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7079	+		:EV-COMP-AINF:3743282566:fulcher	
TU185E-5244			[TU185E-5244 187,433 &larr; 188,839]	G185E-4277		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5244	-		:EV-COMP-AINF:3743282478:fulcher	
TU185E-5366			[TU185E-5366 501,148 &rarr; 503,124]	G185E-4542 // G185E-4541 // G185E-4540		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5366	+		:EV-COMP-AINF:3743282483:fulcher	
TU185E-7711			[TU185E-7711 124,374 &rarr; 125,570]	G185E-4223		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7711	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282597:fulcher	
TU185E-6330			[TU185E-6330 2,534,042 &larr; 2,535,552]	G185E-6479 // G185E-6478		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6330	-		:EV-COMP-AINF:3743282530:fulcher	
TU185E-5734			[TU185E-5734 1,201,717 &rarr; 1,203,111]	G185E-5239		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5734	+		:EV-COMP-AINF:3743282501:fulcher	
TU185E-6695			[TU185E-6695 3,304,441 &rarr; 3,306,535]	G185E-7207 // G185E-7206		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6695	+		:EV-COMP-AINF:3743282547:fulcher	
TU185E-7063			[TU185E-7063 4,126,541 &rarr; 4,126,614]	G185E-7969		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7063	+		:EV-COMP-AINF:3743282566:fulcher	
TU185E-5228			[TU185E-5228 155,667 &rarr; 156,446]	G185E-4245		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5228	+		:EV-COMP-AINF:3743282477:fulcher	
TU185E-5350			[TU185E-5350 456,915 &larr; 458,380]	G185E-4506 // G185E-4505		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5350	-		:EV-COMP-AINF:3743282483:fulcher	
TU185E-7695			[TU185E-7695 191,984 &larr; 193,135]	G185E-4280		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7695	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282596:fulcher	
TU185E-6314			[TU185E-6314 2,506,278 &rarr; 2,508,452]	G185E-6448 // G185E-6447 // G185E-6446		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6314	+		:EV-COMP-AINF:3743282529:fulcher	
TU185E-5718			[TU185E-5718 1,177,628 &rarr; 1,178,392]	G185E-5218		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5718	+		:EV-COMP-AINF:3743282500:fulcher	
TU185E-6682			[TU185E-6682 3,232,871 &larr; 3,234,139]	G185E-7173		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6682	-		:EV-COMP-AINF:3743282547:fulcher	
TU185E-7047			[TU185E-7047 4,094,660 &larr; 4,097,994]	G185E-7940 // G185E-7939 // G185E-7938 // G185E-7937 // G185E-7936 // G185E-7935		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7047	-		:EV-COMP-AINF:3743282565:fulcher	
TU185E-5212			[TU185E-5212 104,805 &larr; 105,215]	G185E-4212		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5212	-		:EV-COMP-AINF:3743282476:fulcher	
TU185E-7415			[TU185E-7415 2,468,231 &rarr; 2,468,923]	G185E-6413		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7415	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282583:fulcher	
TU185E-5334			[TU185E-5334 417,304 &rarr; 419,608]	G185E-4473 // G185E-4472 // G185E-4471		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5334	+		:EV-COMP-AINF:3743282482:fulcher	
TU185E-7679			[TU185E-7679 309,699 &rarr; 310,073]	G185E-4379		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7679	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282595:fulcher	
TU185E-6298			[TU185E-6298 2,470,622 &rarr; 2,471,332]	G185E-6416		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6298	+		:EV-COMP-AINF:3743282529:fulcher	
TU185E-5702			[TU185E-5702 1,151,920 &rarr; 1,156,422]	G185E-5191 // G185E-5190 // G185E-5189 // G185E-5188		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5702	+		:EV-COMP-AINF:3743282499:fulcher	
TU185E-6666			[TU185E-6666 3,192,373 &larr; 3,193,158]	G185E-7135		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6666	-		:EV-COMP-AINF:3743282546:fulcher	
TU185E-7031			[TU185E-7031 4,073,634 &rarr; 4,075,409]	G185E-7914		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7031	+		:EV-COMP-AINF:3743282564:fulcher	
TU185E-5196			[TU185E-5196 74,629 &larr; 75,198]	G185E-4182		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5196	-		:EV-COMP-AINF:3743282476:fulcher	
TU185E-7399			[TU185E-7399 2,606,708 &larr; 2,608,321]	G185E-6558		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7399	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282582:fulcher	
TU185E-5318			[TU185E-5318 382,490 &rarr; 382,876]	G185E-4436		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5318	+		:EV-COMP-AINF:3743282481:fulcher	
TU185E-7663			[TU185E-7663 400,192 &rarr; 401,703]	G185E-4460		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7663	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282595:fulcher	
TU185E-6282			[TU185E-6282 2,437,446 &larr; 2,437,886]	G185E-6385 // G185E-6384		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6282	-		:EV-COMP-AINF:3743282528:fulcher	
TU185E-5686			[TU185E-5686 1,114,293 &rarr; 1,116,525]	G185E-5157 // G185E-5156 // G185E-5155		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5686	+		:EV-COMP-AINF:3743282499:fulcher	
TU185E-6650			[TU185E-6650 3,162,268 &rarr; 3,166,584]	G185E-7106 // G185E-7105 // G185E-7104		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6650	+		:EV-COMP-AINF:3743282545:fulcher	
TU185E-7015			[TU185E-7015 4,040,981 &larr; 4,041,319]	G185E-7876		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7015	-		:EV-COMP-AINF:3743282563:fulcher	
TU185E-5180			[TU185E-5180 47,366 &larr; 48,100]	G185E-4157		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5180	-		:EV-COMP-AINF:3743282475:fulcher	
TU185E-7383			[TU185E-7383 2,740,709 &rarr; 2,742,184]	G185E-6675		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7383	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282581:fulcher	
TU185E-5302			[TU185E-5302 336,560 &larr; 339,073]	G185E-4402		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5302	-		:EV-COMP-AINF:3743282481:fulcher	
TU185E-7647			[TU185E-7647 573,046 &larr; 573,801]	G185E-4612		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7647	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282594:fulcher	
